quesition,answer,quewstion_korean,number
Who's going to stock these shelves?,The overnight workers will do it.,누가 이 선반들을 채울 건가요?,2회-16 (3권)
Do we have enough time to finish this report?,I'll reschedule my next appointment.,이 보고서를 끝낼 시간이 충분한가요?,2회-19 (3권)
How do you add toner to the printer?,The instructions are on the box.,프린터에 토너를 어떻게 추가하나요?,2회-25 (3권)
I'm going to take a walk at lunchtime.,"Oh, I'll be visiting clients then.",점심시간에 산책할 거예요.,2회-21 (3권)
When do you usually start packing for a trip?,About two days in advance.,여행할 때 짐은 보통 언제 꾸리기 시작하나요?,2회-20 (3권)
"They're going to give each of us copies of the press release, aren't they?",I'd better remind them about that.,그들이 보도 자료 사본을 우리 각자에게 나눠주겠죠?,2회-23 (3권)
Would you like me to send you an appointment reminder?,"Yes, I'd appreciate that.",예약 알림을 보내 드릴까요?,2회-13 (3권)
"Oh, there's no clock in this room.",It's about two-thirty.,"어, 이 방에는 시계가 없네요. ",2회-28 (3권)
When will the forklift be repaired?,Probably next week.,지게차는 언제 수리되나요?,2회-12 (3권)
"To get into the buliding, do I use an ID badge or a passcode?",Enter three-four-three on the keypad.,"건물에 들어가려면 신분증을 사용하나요, 아니면 비밀번호를사용하나요? ",2회-30 (3권)
What do most people do for a living around here?,They work at the car manufacturing palnt.,여기는 대다수가 생업으로 어떤 일을 하나요?,2회-24 (3권)
"The order can still be changed, right?",That process is very complicated.,아직 주문을 변경할 수 있죠?,2회-31 (3권)
Did you remember to book a photographer for today's museum opening?,She should have been here by now.,오늘 박물관 개관식에 사진사 예약하는 거 잊지 않으셨죠?,2회-14 (3권)
Isn't the air condtioner set to turn off at night?,"No, we always keep it on.",에어컨이 밤에 꺼지도록 설정되어 있지 않나요?,2회-27 (3권)
How many bottles can these machines produce each hour?,I just started working here.,이 기계는 시간당 몇 개의 병을 생산할 수 있나요?,2회-17 (3권)
Can you send me a link to that company's Web site?,Our e-mail's not working right now.,그 회사 웹사이트 링크를 보내 주실래요?,2회-26 (3권)
Where can I go to have my car engine checked?,The mechanic around the corner.,제 자동차 엔진을 점검받으려면 어디로 가면 되나요?,2회-29 (3권)
Why is my computer so slow today?,Because some updates are being installed.,오늘 제 컴퓨터가 왜이렇게 느리죠?,2회-15 (3권)
Where is the comany's headquarters?,"In Berlin, Germany.",회사 본사는 어디예요?,2회-8 (3권)
Who should write the press release?,George can take care of that.,보도 자료를 누가 작성해야 하나요?,2회-7 (3권)
Why are you visiting the clients tomorrow?,I need to renew their contract.,내일 거래처에 왜 가세요?,2회-9 (3권)
What's the best way for us to get to the conference center?,Let's take a look at the train schedule.,회의장으로 가는 가장 좋은 방법이 뭐죠?,2회-11 (3권)
Aren't these hiking boots supposed to be discounted?,"Oh yes, sorry about that.",이 등산화는 할인되는 거 아닌가요?,2회-18 (3권)
Does Dr. Allen work at the hospital or at a private practice?,"At the hospital, I think.","앨런 박사님은 일반 병원에서 일하시나요, 아니면 개인 병원에서 일하시나요?",2회-10 (3권)
Can you make sure we have a sign-up sheet available?,"Sure, no problem.",저희가 이용할 가입 신청서가 있는지 확인해 주시겠어요?,2회-22 (3권)
