quesition,answer,quewstion_korean,number
Why don't we provide more samples of the wallpaper patterns?,There are plenty in the binders.,벽지 무늬 견본을 더 제공하면 어때요?,2회-29
Aren't you going to schedule an eye doctor appointment?,I alerady scheduled one.,안과 예약 일정을 잡으실 것 아닌가요?,2회-10
When's the new department director supposed to start?,Ms. Pavlova isn't retiring for several weeks.,신임 부서장은 언제 일을 시작하기로 되어 있나요?,2회-25
I'm going to try to fix this printer.,Are you sure it can be repaired?,이 프린터를 수리해 보려고 해요.,2회-11
Have you tried our famous pasta dish?,"Yes, it was delicious.",저희 유명한 파스타 요리를 드셔 보셨나요?,2회-15
"You're going to water the plants before you leave, aren't you?","Yes, right after lunch.","가기 전에 식물에 물을 주실거죠, 그렇죠?",2회-9
Why don't we stop by the office cafeteria on our way to the workshop?,"Sure, we have time for that.",워크숍 가는 길에 사내 카페에 잠깐 들르면 어때요?,2회-14
"Should I deliver these pizzas, or will you?",They're being picked up.,"제가 이 피자들을 배달해야 하나요, 아니면 당신이 하시겠어요?",2회-26
Do I need to reserve a meeting room?,"Yes, let me show you how.",회의실을 예약해야 할까요?,2회-24
"I tried updating the Web site, but it didn't work.",Just send me the changes you want.,"웹사이트를 업데이트해 봤는데, 안 됐어요.",2회-18
Did you hire a new welding specialist?,"Yes, he starts tomorrw.","용접 전문가를 새로 고용했나요?",2회-19
Where can I buy a charger for this laptop?,I can order one for you.,이 노트북 충전기는 어디서 살 수 있나요?,2회-23
What should we do with these brochures?,I'll leave them at the front desk.,이 안내 책자들을 어떻게 할까요?,2회-12
Can you give me a tour of the property this afternonn?,"Sorry, I won't have time until tommorw.",오늘 오후에 그 건물을 견학시켜 주실 수 있나요?,2회-30
Who's the opening act at tonigt's concert?,A jazz singer from France.,오늘 밤 음악회의 개막 공연은 누가 하죠?,2회-16
Who's scheduled to test the product today?,We're wating for confirmation.,오늘 제품 테스트는 누가 할 예정인가요?,2회-31
Have the machines on the factory floor been cleaned?,"No, not yet.",작업 현장의 기계들은 청소가 되어 있나요?,2회-7
When do the product demonstartions start?,The schedule was e-mailed last Friday.,제품 시연은 언제 시작하나요?,2회-17
This month's shipment schedule has been revised.,Which dates have been changed?,이번 달 수송 일정이 변경됐어요.,2회-27
Is the safety inspection scheduled for this month or next month?,It's this Wednesday.,"안전 점검은 이번 달로 예정되어 있나요, 아니면 다음 달인가요?",3회-23
When will the catering company arrive?,At four o'clock.,케이터링 업체가 언제 도착할까요?,3회-8
How much will the repairs cost?,Around 200 dollars.,수리하는 데 비용이 얼마나 들까요?,3회-10
How was your morning client meeting?,The contract is now officially signed.,오전 고객 회의는 어땠어요?,3회-31
What type of plant do you have in your office?,One that doesn't require much water.,사무실에 어떤 종류의 식물이 있나요?,3회-13
I ordered some new equipment for the factory.,Great. I can't wait to use it.,공장에서 쓸 새 장비를 주문했어요.,3회-18
There's a nice place to rent on Mercer Street.,I just renewed my current lease.,머서 가에 임대하기에 좋은 곳이 있어요.,3회-19
Aren't you picking up the clients from the airport?,"No, I believe Tomoko is doing that.",당신이 공항에서 고객들을 모셔올 예정 아닌가요?,3회-30
Who will lead the new-employee training today?,We're using a recorded video.,오늘 신입 사원 교육은 누가 진행해요?,3회-22
Why is there no flour on the shelf?,Because it's out of stock.,왜 선반에 밀가루가 없죠?,3회-7
Can you show me how to submit a tech help ticket?,Let me show send you the link.,기술 지원 티켓을 어떻게 제출하는지 알려 주실 수 있나요?,3회-15
Was your new laptop expensive?,I had a discount coupon.,당신의 새 노트북 컴퓨터는 비쌌나요?,3회-25
"The workshop for this afternoon was postponed, wasn't it?",I haven't checked my e-mail.,"오늘 오후 워크숍은 연기됐죠, 그렇죠?",3회-27
When is the harvest festival taking place?,It's a week from tomorrw.,추수 감사제는 언제 열리나요?,3회-24
When's the meeting scheduled to start?,Right after lunch.,회의는 언제 시작될 예정인가요?,3회-9
Why don't we go on our camping trip next weekend?,I have a performance scheduled with my band.,다음 주 주말에 캠핑 여행을 가는 게 어때요?,3회-26
"Do you want to take a walk now, or would later be better?",I'm free to walk now.,"지금 산책하고 싶으세요, 아니면 나중이 더 나을까요?",3회-17
Isn't the roadwork in front of city hall finished yet?,"No, they still have another month to go.",시청 앞 도로 공사가 아직 안끝났어요?,3회-21
Where is the power button on this device?,I've never used that model before.,이 기기의 전원 버튼은 어디 있죠?,3회-16
How were our production figures last month?,We were closed down for a week.,우리 지난달 생산량은 어땠어요?,3회-28
Where should we put the new printer?,In the corner by the staris.,새 프린터를 어디에 둬야 하나요?,3회-12
"You went to the dentist this morning, didn't you?","Yes, for an annual checkup.","오늘 오전에 치과에 갔죠, 그렇죠?",3회-11
There was a sale at the furniture store.,Did you buy anything?,가구점에서 할인을 했어요.,3회-14
Is the heating system working?,I just called maintenance.,난방 장치가 작동되나요?,3회-20
When can I see the speech therapist?,How about tomorrow afternoon?,언어 치료사를 언제 만날 수 있어요?,3회-29
Don't you want to buy the black sofa?,We already have one.,검은색 소파를 사고 싶지 않나요?,4회-17
Where did these oranges come from?,From a supplier in California.,이 오렌지는 어디에서 왔죠?,4회-8
Does the company pay for professinal-development courses?,We do have a significant budget surplus.,그 회사는 직무 능력 개발 강좌 비용을 지불하나요?,4회-31
Will Dr. Ivanova be late today?,"No, you shouldn't have to wailt long.",이바노바 박사님은 오늘 늦으시나요?,4회-10
"You're taking a business class in the afternoon, aren't you?","Actually, it's in the morning.","오후에 비즈니스 수업 들으시죠, 그렇지 않나요?",4회-15
Why did you pursue a career in video game design?,Because I have a talent for it.,왜 비디오 게임 디자인 일을 계속하셨나요?,4회-22
Should I make the dinner reservation for Friday or Saturday?,Saturday is better.,"저녁 식사 예약을 금요일로 할까요, 토요일로 할까요?",4회-9
When can I bring these boxes into the warehouse?,We'll need to clear some space.,언제 이 상자들을 창고로 가져갈 수 있을까요?,4회-29
Could I see some sample floral arrangements before I order?,"Certainly, I have some right here.",주문하기 전에 꽃꽂이 견본을 좀 볼 수 있을까요?,4회-16
Do you have this jacket in a larger size?,"Oh, I'm not a sales associate.",이 재킷 더 큰 사이즈로 있나요?,4회-18
Aren't there locker rooms at this gym?,"Yes, they're on the lower floor.",이 체육관에 탈의실이 있지 않아요?,4회-11
How are the database updates coming along?,I've been really busy with the Williams account.,데이터베이스 업데이트는 어떻게 되어 가고 있나요?,4회-28
When are they going to decide who to hire?,A lot of good reumes have come in.,그들은 누구를 고용할지 언제 결정할까요?,4회-26
Should I bring anything to the meeting?,Do we have enough handouts?,회의에 가져가야 할 것이 있나요?,4회-20
Does the shop open on Sundays?,"Yes, at one o'clock.",그 가게는 일요일에 문을 여나요?,4회-7
Who needs a copy of my safety training certificate?,Maksim does.,누가 제 안전 교육 수료증 사본이 필요하죠?,4회-12
I had chance to look over the contract this morning.,What did you think of it?,오늘 오전에 계약서를 훑어볼 기회가 있었어요.,4회-27
Where does she sell her handmade jewelry?,At a store in the city center.,그녀는 자신의 수제 보석을 어디서 파나요?,4회-14
What was the total charge for the hotel stay?,I'd have to look at the receipt.,호텔 투숙 총 비용이 얼마였죠?,4회-21
Where did you first learn about the job opening?,I read an online newspaper every morning.,이 구인 건을 어디서 처음 알게 되셨나요?,4회-19
I'd like to attend the job fair next month.,Registration closed yesterday.,다음 달 취업 박람회에 참석하고 싶어요.,4회-23
Could you phone Mr. feras and let him know we're in the hotel lobby?,"Yes, of course.",페라스 씨에게 전화해서 우리가 호텔 로비에 있다고 알려 주실 수 있어요?,4회-13
The market on Fifth Street is closed for a week.,Is there another one nearby?,5번 가 시장은 일주일간 닫아요.,4회-30
Hasn't anyone called you back for the second interview yet?,I'm still waiting.,아직 2차 면접 전화를 못 받으셨어요?,4회-24
How many tickets do we need for tonight's concert?,I'll buy mine at the door.,우리 오늘 밤 콘서트 티켓이 몇 장 필요하죠?,4회-25
Did you know that the music school is closed on Sundays?,"No, I didn't know that.",음악 학교가 일요일에는 문을 닫는 것을 알고 계셨나요?,5회-11
How many employees work in your department?,"A couple dozen, I think.",당신의 부서에서 근무하는 직원은 몇 명인가요?,5회-21
I suggest we paint the waiting room light blue.,That's good idea.,대기실을 하늘색으로 칠할 것을 제안합니다.,5회-10
Which airline are you planning on using?,The usual one.,어떤 항공사를 이용할 계획이시죠?,5회-18
When did you place the order for the lumber?,It's out of stock right now.,목재 주문을 언제 넣었나요?,5회-13
Isn't your suitcase going to be heavier than the permitted weight?,I'll have to pay a little bit extra.,당신의 여행 가방은 허용된 무게보다 무겁지 않을까요?,5회-28
The layout of the footwear department has changed.,The store has a new manager.,신발 코너 배치가 바뀌었네요.,5회-25
Should we meet at the department store oon Fifth Street or the one on Grover Lane?,Let's ask Patricia first.,"우리는 5번 가에 있는 백화점에서 만나는 게 좋을까요, 아니면 그 로버 길에 있는 백화점에서 만나는 게 좋을까요?",5회-30
Let's post the sales report to our team's Web page.,I can do that.,우리 팀 웹페이지에 영업 보고서를 게시합시다.,5회-17
Where is the new packaging machine?,We decided to keep the old one.,새 포장 기계는 어디 있죠?,5회-14
Which band is playing at the club tonight?,There's always a comedy show on Thursday nights.,오늘 밤 클럽에서 어느 밴드가 연주해요?,5회-31
Why haven't the windows been replaced yet?,Did you see the cost estimate?,창문을 왜 아직 교체하지 않았죠?,5회-27
Who paid for lunch?,Alberto did.,점심값은 누가 냈어요?,5회-20
"We should leave for our training course soon, shouldn't we?",We still have a few minutes.,이제 곧 교육받으러 가야 하죠?,5회-22
Where's this shipment of parts being sent?,To the assembly plant in Dublin.,이번 부품 수송은 어디로 보내는 건가요?,5회-19
"There's meeting in the conference room soon, right?","Yes, it's for the whole department.",회의실에서 곧 회의가 있죠?,5회-7
Do you prefer writing in the morning or the afternoon?,Mornings are usually better for me.,"글을 오전에 쓰는 걸 선호하세요, 아니면 오후에 쓰는 걸 선호하세요?",5회-9
Isn't there a limit on travel expenses?,One hundred dollars per day.,출장비에 한도가 있지 않나요?,5회-23
Who manufactures the engines for our machines?,Koji is in charge of supplier contracts.,우리 기계 엔진은 누가 제조하나요?,5회-29
Why hasn't the mural in the lobby been painted yet?,Because the artist is out of town.,로비 벽화는 왜 아직 칠해지지 않았죠?,5회-8
Are you taking a vacation once this project is over?,Yes. I'm planning a trip to Barcelona.,이 프로젝트가 끝나면 휴가를 가실 건가요?,5회-16
I'll be out of the office this afternoon.,OK. I'll update your schedule.,저는 오늘 오후에 사무실에 없을 거예요.,5회-15
How do I find the office manager?,The recceptionist would know.,어떻게 하면 사무실 관리자를 만날 수 있을까요?,5회-12
Can you look at this month's revenue report?,I have some free time tomorrow afternoon.,이번 달 수익 보고서를 봐 주실 수 있나요?,5회-26
When should I tell the director that I'm interested in the management position?,I'm not on the hiring team.,제가 관리직에 관심이 있다는 걸 책임자에게 언제 말해야 할까요?,5회-24
When did you post the job opening?,It's been on the Web site for a month.,언체 채용 공고를 게시했어요?,6회-19
Why don't we take a walk after lunch?,The sales report is due at one o'clock.,점심 식사 후에 산책하는 게 어때요?,6회-30
Who's going to take home the left over cake?,Marcel said he would.,남은 케이크는 누가 집으로 가져갈 건가요?,6회-7
Are you traveling in business class or economy?,My flight was just canceled.,"비즈니스 클래스를 타세요, 아니면 이코노미 클래스를 타세요?",6회-21
Who's joining us for the waterfront boat ride?,Everybody on our team is coming.,해안가 보트 타러 가는 데 누가 함께하실 건가요?,6회-10
When does the cleaning staff leave for the day?,"By six o'clock, usually.",청소 직원들은 언제 퇴근합니까?,6회-27
The number of subscribers for our magazine has decreased recently.,There's room in the budget for more adverising.,최근 우리 잡지 구독자 수가 감소했어요.,6회-22
Should we meet to discuss our research project?,Put something on my calendar.,연구 프로젝트에 대해 논의하기 위해 만나야 하나요?,6회-26
I decided to move the seasonal merchandise to the front of the store.,Did you put some of it in the window display?,계절 상품을 매장 앞쪽으로 옮기기로 결정했어요.,6회-31
Are you applying for the manager position?,Yes... I hope I get it.,관리직 직에 지원하시나요?,6회-20
Where's the company party being held?,At the Chesterville Hotel.,회사 파티는 어디서 열리나요?,6회-14
How many copies of the propsal should I make?,Fifty should be enough for everyone.,제안서를 몇 부 복사해야 할까요?,6회-12
Could you request a technician to repair the packaging machine?,"Sure, I'll do that.",포장 기계를 수리할 기술자를 요청해 주실 수 있나요?,6회-11
How do you clean the solar panels without damaging them?,I pay a company to do all the maintenace.,태양 전지판을 손상시키지 않고 어떻게 청소하죠?,6회-23
What's the best way to cantact you?,On my mobile phone.,어떻게 연락 드리는 것이 가장 좋을까요?,6회-9
How would you like to pay for these shoes today?,With a store gift card.,오늘 이 신발은 어떻게 계산하실 건가요?,6회-28
Why is Jonathan leaving early?,To catch the six o'clock train.,조나단은 왜 일찍 가요?,6회-13
When can we meet about the invoices?,I'm free after two.,청구서 건으로 언제 만날 수 있을까요?,6회-17
Does this pasta come with a side salad?,"No, I'm afraid not.",이 파스타는 곁들임 샐러드가 같이 나오나요?,6회-16
Did you want to sigh up for a one-year magazine subscription?,How much will it cost?,잡지 1년 구독 신청을 원하셨죠?,6회-15
Don't we sell Ramirez lawn mowers?,I work in the home decor area.,우리 라미레즈 잔디깎이 팔지 않나요?,6회-25
Can you tell me where the security office is?,Today's my first day here.,경비실이 어디 있는지 알려 주실 수 있나요?,6회-8
When will I receive my certificate in the mail?,I'll have to check with the office.,증명서를 언제 우편으로 받게 될까요?,6회-24
Would you like me to help you open a savings account?,That'd be great.,예금 계좌 개설하는 것을 도와드릴까요?,6회-18
"It's an effective advertisement, isn't it?",I've heard that sales have increased.,"효과적인 광고예요, 그렇지 않나요?",6회-29
"My appointment is with Dr. Hamdy today, right?","Yes, and she'll see you in a minute.","저 오늘 햄디 선생님 예약이죠, 맞죠?",7회-15
Who's providing the floral arrangements for the party?,The florist on Main Street.,파티 꽃 장식은 누가 제공하나요?,7회-7
How much oil does your heater use in the winter?,We only use electric applianes.,당신의 히터는 겨울철에 기름을 얼마나 쓰죠?,7회-25
I don't know if the packaging materials were ordered already.,I saw some boxes on the loading dock.,포장 재료가 이미 주문됐는지 잘 모르겠네요.,7회-22
When will we mention our budgetary needs to the outreach coordinator?,We're fully funded through the end of the year.,우리 예산 요구를 봉사 활동 조정자에게 언제 언급할까요?,7회-14
How do I set up this projector?,There's a manual in the drawer.,이 프로젝터는 어떻게 설치하나요?,7회-10
How long will the online course take?,You can finish it in a few hours.,온라인 강좌는 얼마나 걸릴까요?,7회-19
Didn't we renew our newspaper subscription last month?,"Yes, it was renewed for another six months.",우리 지난달에 신문 구독을 갱신하지 않았어요?,7회-13
When will you be done testing the new mobile app?,I'm almost finished.,새 모바일 앱 시험은 언제 완료하실건가요?,7회-28
Will you be available to work on Thursday or Friday?,There's mandatory training on Friday.,"목요일에 일할 시간이 되세요, 아니면 금요일에 되세요?",7회-31
What floor are you going to?,The twenty-fifth.,몇 층으로 가세요?,7회-9
Could you please send me the sales report?,Of course. I'll do it now.,영업 보고서를 저에게 보내주실 수 있나요?,7회-23
When will the tickets for the performance be ready to pick up?,We should get them by the end of the week.,공연 입장권은 언제 수령할 수 있을까요?,7회-21
Who has already received their promotion letter?,I did yesterday.,누가 승진 통지서를 이미 받았나요?,7회-11
What type of view will your apartment have?,I haven't signed a lease yet.,당신의 아파트는 조망이 어떤가요?,7회-24
Should I take the train or the bus to the airport?,The bus stop is five kilometers away.,"공항까지 기차를 타야 할까요, 아니면 버스를 타야 할까요?",7회-18
Will this month's company gathering be held in Benson Park?,It's still cold outside most days.,이번 달 회사 모임은 벤슨 공원에서 열릴 예정인가요?,7회-20
Don't forget to turn off the projecter after your presentation.,Shoud I return it to the supply closet?,발표 후 잊지 말고 프로젝트를 끄세요.,7회-29
Did you read the press release?,I haven't checked my e-mail all day.,보도 자료를 보셨나요?,7회-12
Where can I find the vitamins?,In aisle six.,비타민은 어디 있어요?,7회-26
Thank you for helping me create a survey.,The software did most of the work.,설문 제작을 도와주셔서 감사합니다.,7회-27
Would you be able to reschedule my haircut for Monday?,"No, we're fully booked that day.",제 헤어컷 일정을 월요일로 변경해 주실 수 있나요?,7회-17
Where should I store this shipment of paper?,"Well, the supply room is full.",이 종이 배송품은 어디에 보관해야 할까요?,7회-16
Why didn't you finish the budget report?,I was meeting with a client.,왜 예산 보고서를 끝내지 못했나요?,7회-8
Didn't there use to be a parking garage on this street?,"Yes, but it's been torn down.",이 거리에 주차장이 있지 않았나요?,7회-30
How long will we have to wait for a taxi to arrive?,Would you prefer to walk?,얼마나 오래 택시가 도착하기를 기다려야 할까요?,8회-29
Is there a list of guests who have been invited?,The caterer has all the necessary information.,초대된 손님 명단이 있나요?,8회-24
Is it easiest for me to take a bus to the city center?,I usually do.,도심으로 버스를 타고 가는 것이 가장 편한가요?,8회-19
We're not going to be able to fit everyone in this space.,There's a larger room down the hallway.,이 공간에 모두를 들어가게 할 수는 없을 거예요.,8회-18
We're meeting this week to discuss the upcoming merger.,I have it on my calendar.,다가올 합병에 대해 논의하러 이번 주에 만납니다.,8회-28
How do I turn on the air conditioner in this office?,The temperature is controlled automatically.,사무실 에어컨을 어떻게 켜죠?,8회-26
Who do I present my proposal to?,The acquisitions committee.,제 제안서를 누구에게 보여주죠?,8회-12
Who's picking up the newspaper?,Camile said she will.,누가 신문을 가져올 건가요?,8회-7
What do you think I should take to the conference?,Just your laptop.,제가 회의에 뭘 가져가야 할 것 같아요?,8회-10
Where's the festival being held?,In the town center.,축제는 어디서 열릴 예정이죠?,8회-11
When is your doctor's appointment?,This afternoon.,진료 예약이 언제죠?,8회-8
Have you trained Hikaru to use the new microscope?,I misplaced the instruction manual.,히카루에게 새 현미경 사용법을 교육하셨나요?,8회-27
How often do you have to install updates?,Waseem is the software administrator.,업데이트를 얼마나 자주 설치해야 해요?,8회-22
When's the dishwasher being repaired?,The technicaian came this morning.,식기세척기는 언제 수리되나요?,8회-15
Are you able to make a prototype soon?,"Yes, my team is working on it.",시제품을 곧 만드실 수 있나요?,8회-20
Would you like to take this vehicle for a test drive?,I heard a new model is coming out in March.,이 차를 시승해 보시겠어요?,8회-31
"You changed the color printer cartridge recently, didn't you?","Right, just a few days ago.","최근에 컬러 프린터 카트리지를 바꾸셨죠, 그렇죠?",8회-17
Let's talk about your project after lunch.,I'm leaving work early today.,점심 식사 후 당신의 프로젝트에 관해 얘기해 봅시다.,8회-23
Would it be cheaper to ship by express mail or overnight delivery?,Express mail is less expensive.,"속달 우편으로 운송하는 게 더 싸요, 아니면 익일 배송이 더 싸요?",8회-25
Why don't we have a company picnic?,Because it costs a lot of money.,우리는 회사 야유회를 왜 안가죠?,8회-9
Could you please look up the location on your phone?,"OK, one moment.",핸드폰으로 그 장소를 찾아봐 주실 수 있나요?,8회-13
Should we move the employee lounge to the basement?,"No, it's too dark down there.",직원 라운지를 지하로 옮겨야 하나요?,8회-16
Isn't the accounting seminar tomorrow?,"Actually, it's on Friday.",회계 세미나는 내일 아닌가요?,8회-14
Where can I buy a lamp like that?,I got this one as a gift.,그런 램프를 어디서 살 수 있어요?,8회-21
Did deal to lease the equipment go through?,"Not yet, but we hope to have it finalized this quarter.",장비 대여 거래가 성사됐나요?,8회-30
How can we train all the new team members?,People like watching videos.,신입 팀원들을 전부 어떻게 교육하죠?,9회-25
What was the highlight of your visit to the city this weekend?,Definitely the art museum!,이번 주말에 그 도시를 방문해서 무엇이 가장 좋았어요?,9회-13
Why do we have to put on safety goggles?,Because of safety regulations.,보호 안경을 왜 써야 하나요?,9회-9
Isn't this the last train out?,"No, there's one more.",이 열차가 막차 아닌가요?,9회-12
Do you want me to fix the printer in your office?,"Yes, that would be helpful.",사무실에 있는 프린터를 고쳐드릴까요?,9회-22
When was that news story about the merger published?,A few weeks ago.,합병에 관한 그 뉴스가 언제 발표됐나요?,9회-14
Does the manager want us to pick up the supplies or have them delivered?,She'll be here soon.,"관리자는 우리가 물품을 가지러 가길 바라나요, 아니면 배송시키기를 바라나요?",9회-27
Should I pick up the food order for Ms. Santos?,"Yes, if you have the time.",산토스 씨를 대신해서 제가 주문한 음식을 가지러 가야 하나요?,9회-19
When can we use the new color printer?,This afternoon.,새 컬러 프린터는 언제 사용할 수 있죠?,9회-17
Where is the fashion seminar?,It's in room 235.,패션 세미나는 어디서 있죠?,9회-8
Can I take another bottle of water?,If there are any left.,물을 한 병 더 가져가도 되나요?,9회-11
Will the company's warehouse be bulit in the city or farther out?,It'll be in the city.,"회사 물류창고는 도시에 지어질 건가요, 아니면 더 멀리 떨어져서 지어질 건가요?",9회-23
Has Jacob come into the office today?,His briefcase is on his desk.,제이콥은 오늘 사무실에 왔나요?,9회-28
Are you joining the team for today's briefing?,My top client is in town.,오늘 브리핑 때 팀에 합류하시나요?,9회-29
I'm organizing a healthy eating program at the office.,Do you need any help with it?,저는 사무실에서 건강한 식사 프로그램을 준비하고 있어요.,9회-30
Who's covering for Ms. Hamada?,Her assistant.,하마다 씨를 누가 대신하나요?,9회-7
Could you order some more paper plates?,We have enough for three months.,종이 접시를 좀 더 주문해 주실 수 있나요?,9회-18
"The party is supposed to start at six p.m., right?","No, the invitiation said seven.","파티가 오후 6시에 시작하기로 되어 있죠, 그렇죠?",9회-26
We need to install a security system at the office.,"Yes, I think that's good idea.",우리 사무실에 보안 시스템을 설치해야 해요.,9회-15
The taxi has finally arrived.,"Oh, did it get stuck in traffic?",드디어 택시가 도착했어요.,9회-24
How often do you go to concerts?,I don't have a lot of free time.,음악회는 얼마나 자주 가세요?,9회-21
Is your car expensive to repair?,It's been running perfectly since I bought it.,당신의 차는 수리 비용이 비싼가요?,9회-31
What did you do for Mr. Sugiyama's retirement party?,I helped decorate the room.,수기야마 씨의 은퇴 기념 파티를 위해 뭘 하셨어요?,9회-10
Where are the job fairs being held?,There's a list in the folder.,취업 박람회는 어디서 열리나요?,9회-16
Why don't you distribute this flyer around the office?,Sure. that's a great idea.,이 전단을 사무실 근처에서 나눠주지 그래요?,9회-20
How did you improve the processing speed?,That's a question for Siiilvia.,처리 속도를 어떻게 향상시키셨나요?,10회-13
The project proposal still needs work.,I can help you with it.,프로젝트 제안서는 아직 작업이 필요해요.,10회-11
Do you take your coffee with or without milk?,I prefer drinking tea.,"커피에 우유를 넣으시겠어요, 넣지 않으시겠어요?",10회-20
When will next month's cost projections be ready?,I sent an e-mail a few minutes ago.,다음 달 비용 추산은 언제 준비되나요?,10회-22
Which version of the contract do you have?,The final one.,계약서 어떤 버전을 갖고 계세요?,10회-24
How long will it take us to get to the theater?,Tickets for the performance are sold-out.,우리가 극장까지 가는 데 얼마나 걸릴까요?,10회-29
"The new marketing director will be hired soon, won't she?",Didn't you check your e-mail?,"곧 신임 마케팅 이사를 채용하죠, 그렇죠?",10회-16
Are you going to send a report or give a presentation to our clients?,I'll probably do both.,"고객에게 보고서를 보내실 건가요, 아니면 발표를 하실 건가요?",10회-30
Would you ask Tae-Joon to help set up the product display?,"No, I can do it myself.",태준에게 제품 진열을 도와 달라고 요청하시겠어요?,10회-23
When will the new coffee machine be installed in the lobby?,Within the next few days.,새 커피 머신은 언제 로비에 설치될 예정이죠?,10회-15
Is your flight tomorrow or this afternoon?,It's this afternoon.,"당신이 탈 항공편은 내일인가요, 아니면 오늘 오후인가요?",10회-8
When will you deliver the furniture I ordered?,By Tuesday at the latest.,제가 주문한 가구를 언제 배달해 주실 건가요?,10회-7
When should we hang up the posters for our conference?,The design still needs to be finalized.,언제 학회 포스터를 내걸어야 해요?,10회-31
Are the blueberries ready to harvest?,It's not summertime yet.,블루베리를 수확할 때가 됐나요? ,10회-28
Who can I talk to about scheduling a haircut?,Will you be available tomorrow afternoon?,헤어컷 시간을 잡는 건 누구에게 얘기하면 되나요?,10회-18
I really need some help with the presentation graphics.,Insook can do those for you.,발표 시각 자료에 도움이 절실히 필요해요.,10회-17
Can I play my bill with a credit card?,"Sure, that's fine.",신용카드로 계산해도 될까요?,10회-10
Where do you plan to stay during your visit to the city?,At a friend's house.,그 도시를 방문하는 동안 어디서 묵을 계획이에요?,10회-12
Why are you installing new software?,Because our current software is outdated.,왜 새 소프트웨어를 설치하고 있어요?,10회-21
"Do you take exercise classes too, or just dance classes?",I only take dance.,"운동 강좌도 듣나요, 아니면 그냥 춤 강좌만 듣나요?",10회-14
Why isn't Ms. Perez here yet?,Because she's meeting with her manager.,페레즈 씨는 왜 아직 안 왔나요?,10회-25
